               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  99,            0.027499,            0.081495,           0.0036951,             0.76477,             0.67519,             0.74276,             0.47087,             0.02586,            0.079208,           0.0044611,            0.003532,            0.003532,            0.003532
                 100,            0.027262,            0.081151,           0.0039067,             0.74983,             0.68299,             0.74258,             0.47294,            0.025708,            0.078888,           0.0044078,            0.003466,            0.003466,            0.003466
                 101,            0.027212,            0.080794,           0.0038036,              0.7647,             0.67312,             0.74091,             0.47389,            0.025787,            0.079321,           0.0043505,              0.0034,              0.0034,              0.0034
                 102,            0.026951,            0.081029,            0.003794,             0.76388,              0.6795,             0.74273,             0.47454,            0.025697,            0.079456,           0.0043378,            0.003334,            0.003334,            0.003334
                 103,            0.026977,            0.080859,            0.003906,             0.76176,             0.67484,             0.74007,              0.4737,            0.025692,            0.079583,           0.0044156,            0.003268,            0.003268,            0.003268
                 104,            0.026695,             0.08079,           0.0037697,             0.74855,             0.68844,             0.74113,             0.47279,            0.025716,            0.079766,           0.0043487,            0.003202,            0.003202,            0.003202
                 105,            0.027009,            0.078625,           0.0036522,              0.7546,             0.67932,             0.74009,             0.47394,            0.025576,            0.079657,           0.0043849,            0.003136,            0.003136,            0.003136
                 106,            0.026215,            0.077935,            0.003923,              0.7485,             0.68393,             0.73796,             0.46798,            0.025873,            0.080192,           0.0044345,             0.00307,             0.00307,             0.00307
                 107,            0.026618,            0.079287,           0.0038161,             0.74506,             0.68788,             0.74159,             0.47329,            0.025506,            0.078996,            0.004364,            0.003004,            0.003004,            0.003004
                 108,            0.026276,            0.081554,           0.0037451,             0.75379,             0.67707,             0.73753,             0.47164,            0.025645,            0.079199,            0.004416,            0.002938,            0.002938,            0.002938
                 109,             0.02653,            0.080253,           0.0037676,              0.7382,              0.6928,             0.74148,             0.47625,            0.025387,            0.078864,           0.0043783,            0.002872,            0.002872,            0.002872
                 110,            0.026478,            0.079306,            0.003727,             0.74549,             0.68079,             0.73809,              0.4688,            0.025639,            0.079313,           0.0044224,            0.002806,            0.002806,            0.002806
                 111,            0.025963,            0.078557,           0.0037797,             0.75344,             0.68024,             0.73942,              0.4746,            0.025498,            0.080006,           0.0044143,             0.00274,             0.00274,             0.00274
                 112,            0.026414,            0.080183,           0.0038125,             0.74512,             0.68227,             0.73928,             0.47465,             0.02552,            0.079719,           0.0043783,            0.002674,            0.002674,            0.002674
                 113,             0.02604,             0.08083,            0.003661,             0.75006,             0.68412,             0.73705,             0.47277,            0.025695,            0.080284,            0.004445,            0.002608,            0.002608,            0.002608
                 114,            0.025689,            0.079266,           0.0036191,             0.75898,             0.67732,             0.73946,             0.47382,            0.025523,            0.079815,           0.0043571,            0.002542,            0.002542,            0.002542
                 115,            0.026128,            0.079254,           0.0037019,             0.75494,             0.68124,             0.74003,              0.4744,            0.025595,             0.08018,            0.004351,            0.002476,            0.002476,            0.002476
                 116,            0.025802,            0.077008,           0.0036358,             0.75632,             0.67595,             0.73904,             0.47403,            0.025612,            0.080409,           0.0044448,             0.00241,             0.00241,             0.00241
                 117,            0.025413,            0.080471,           0.0035498,             0.75769,             0.67119,             0.73595,             0.47318,            0.025581,            0.080125,           0.0044261,            0.002344,            0.002344,            0.002344
                 118,             0.02539,            0.077846,           0.0035144,              0.7505,             0.68152,             0.73928,             0.47583,            0.025455,             0.07943,           0.0043615,            0.002278,            0.002278,            0.002278
                 119,            0.025256,             0.07808,            0.003535,             0.75178,              0.6797,             0.73728,             0.47251,            0.025712,            0.080364,           0.0042714,            0.002212,            0.002212,            0.002212
                 120,            0.025334,            0.078517,           0.0035279,             0.74839,             0.68142,             0.73726,             0.47046,            0.025678,            0.080409,           0.0043588,            0.002146,            0.002146,            0.002146
                 121,            0.025417,            0.077766,           0.0036234,             0.75775,             0.67411,             0.73932,             0.47419,            0.025501,            0.080452,           0.0043142,             0.00208,             0.00208,             0.00208
                 122,            0.025222,            0.079725,           0.0035945,             0.75513,             0.67938,             0.74022,             0.47585,            0.025395,            0.079954,           0.0042813,            0.002014,            0.002014,            0.002014
                 123,            0.025142,            0.077074,            0.003534,             0.74878,             0.67714,             0.73597,             0.47404,            0.025494,            0.080526,            0.004291,            0.001948,            0.001948,            0.001948
                 124,            0.025083,            0.078066,           0.0034514,             0.75397,             0.67832,              0.7389,             0.47357,            0.025592,            0.080487,           0.0043072,            0.001882,            0.001882,            0.001882
                 125,            0.024916,            0.076751,            0.003408,             0.74571,             0.68672,             0.73907,             0.47512,            0.025493,            0.080391,           0.0043105,            0.001816,            0.001816,            0.001816
                 126,             0.02475,            0.079244,           0.0035925,             0.75448,             0.68063,             0.73782,             0.47274,            0.025611,            0.080518,           0.0043242,             0.00175,             0.00175,             0.00175
                 127,            0.025306,            0.078675,           0.0034449,             0.74982,             0.68079,             0.73655,             0.47666,            0.025356,             0.08005,           0.0042914,            0.001684,            0.001684,            0.001684
                 128,            0.025176,            0.079157,           0.0034785,             0.74887,             0.68401,             0.73729,             0.47395,            0.025396,            0.080399,           0.0043847,            0.001618,            0.001618,            0.001618
                 129,            0.024778,            0.076856,           0.0035835,             0.75298,             0.67689,              0.7376,             0.47509,            0.025361,            0.080121,           0.0042985,            0.001552,            0.001552,            0.001552
                 130,            0.024808,            0.078939,           0.0033999,              0.7463,             0.67951,             0.73669,             0.47392,             0.02544,             0.08084,           0.0042996,            0.001486,            0.001486,            0.001486
                 131,            0.024768,            0.077556,           0.0035271,             0.75456,             0.68023,             0.73875,              0.4753,            0.025298,            0.080385,           0.0042615,             0.00142,             0.00142,             0.00142
                 132,            0.024905,            0.077531,           0.0035361,             0.75213,             0.67593,             0.73646,             0.47468,            0.025416,            0.080717,           0.0042691,            0.001354,            0.001354,            0.001354
                 133,            0.024684,            0.077327,           0.0035732,             0.74862,             0.67859,             0.73611,             0.47517,            0.025432,            0.080803,            0.004239,            0.001288,            0.001288,            0.001288
                 134,             0.02446,            0.074288,           0.0036193,             0.74905,             0.67926,              0.7346,             0.47273,            0.025437,            0.080903,           0.0042831,            0.001222,            0.001222,            0.001222
                 135,            0.024346,             0.07851,           0.0033714,             0.75618,             0.67706,             0.73649,             0.47411,            0.025479,            0.080899,           0.0042546,            0.001156,            0.001156,            0.001156
                 136,            0.024255,            0.078578,           0.0034533,             0.74241,             0.68216,             0.73371,             0.47444,             0.02536,            0.081139,           0.0042418,             0.00109,             0.00109,             0.00109
                 137,            0.024476,            0.076979,           0.0033729,             0.75171,             0.68226,             0.73662,             0.47413,            0.025459,            0.080949,           0.0042634,            0.001024,            0.001024,            0.001024
                 138,            0.024503,            0.075742,           0.0034969,             0.75539,             0.67642,             0.73638,               0.476,            0.025383,            0.080822,           0.0042334,            0.000958,            0.000958,            0.000958
                 139,            0.024093,            0.076388,           0.0034216,             0.75097,             0.68002,             0.73415,             0.47326,            0.025489,            0.081265,           0.0042799,            0.000892,            0.000892,            0.000892
                 140,            0.024423,            0.077926,            0.003243,              0.7532,             0.68044,             0.73657,             0.47556,            0.025394,            0.081052,            0.004206,            0.000826,            0.000826,            0.000826
                 141,            0.024546,            0.079548,           0.0035058,             0.74442,             0.68124,              0.7354,             0.47331,            0.025415,            0.081356,           0.0042419,             0.00076,             0.00076,             0.00076
                 142,            0.024027,             0.07573,           0.0033641,             0.75113,             0.67948,              0.7353,             0.47697,            0.025398,            0.081167,           0.0042419,            0.000694,            0.000694,            0.000694
                 143,            0.024357,            0.076742,           0.0034863,             0.75194,             0.68079,             0.73539,             0.47618,            0.025442,            0.081275,           0.0042367,            0.000628,            0.000628,            0.000628
                 144,             0.02437,            0.076783,           0.0033773,             0.75277,             0.67662,             0.73551,             0.47489,            0.025476,             0.08126,           0.0042631,            0.000562,            0.000562,            0.000562
